Player,Team,Pos,Tgt,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Y/Tgt,Fmb,-9999
Trey McBride,ARI,TE,118,88,879,10.0,8,7.3,73.3,74.6,7.4,0,McBrTr01
Ja'Marr Chase,CIN,WR,131,86,971,11.3,5,7.8,88.3,65.6,7.4,1,ChasJa00
Puka Nacua,LAR,WR,107,86,1019,11.8,4,7.8,92.6,80.4,9.5,1,NacuPu00
Christian McCaffrey,SFO,RB,107,85,806,9.5,5,6.5,62.0,79.4,7.5,2,McCaCh01
Jaxon Smith-Njigba,SEA,WR,111,82,1336,16.3,7,6.8,111.3,73.9,12.0,2,SmitJa06
Amon-Ra St. Brown,DET,WR,108,75,884,11.8,9,6.3,73.7,69.4,8.2,1,StxxAm00
Chris Olave,NOR,WR,115,73,781,10.7,5,6.1,65.1,63.5,6.8,0,OlavCh00
George Pickens,DAL,WR,105,73,1142,15.6,8,6.1,95.2,69.5,10.9,3,PickGe00
Wan'Dale Robinson,NYG,WR,110,73,828,11.3,3,5.6,63.7,66.4,7.5,1,RobiWa01
Jake Ferguson,DAL,TE,83,70,496,7.1,7,5.8,41.3,84.3,6.0,2,FergJa00
Stefon Diggs,NWE,WR,79,64,705,11.0,3,4.9,54.2,81.0,8.9,0,DiggSt00
Justin Jefferson,MIN,WR,105,62,799,12.9,2,5.2,66.6,59.0,7.6,0,JeffJu00
Keenan Allen,LAC,WR,91,60,622,10.4,4,5.0,51.8,65.9,6.8,1,AlleKe00
Zay Flowers,BAL,WR,84,60,767,12.8,1,5.0,63.9,71.4,9.1,2,FlowZa00
Drake London,ATL,WR,94,60,810,13.5,6,6.7,90.0,63.8,8.6,1,LondDr00
Michael Pittman Jr.,IND,WR,82,60,620,10.3,7,5.0,51.7,73.2,7.6,0,PittMi01
DeVonta Smith,PHI,WR,86,60,802,13.4,3,5.0,66.8,69.8,9.3,0,SmitDe07
Travis Kelce,KAN,TE,78,59,719,12.2,5,4.9,59.9,75.6,9.2,0,KelcTr00
Dalton Schultz,HOU,TE,80,59,552,9.4,1,4.9,46.0,73.8,6.9,0,SchuDa00
Ladd McConkey,LAC,WR,90,58,683,11.8,5,4.8,56.9,64.4,7.6,0,McCoLa00
Deebo Samuel,WAS,WR,75,58,534,9.2,5,5.3,48.5,77.3,7.1,2,SamuDe00
Tyler Warren,IND,TE,78,58,684,11.8,4,4.8,57.0,74.4,8.8,1,WarrTy00
Nico Collins,HOU,WR,95,57,795,13.9,4,5.2,72.3,60.0,8.4,1,CollNi00
Tetairoa McMillan,CAR,WR,98,57,826,14.5,6,4.4,63.5,58.2,8.4,0,McMiTe00
A.J. Brown,PHI,WR,87,56,699,12.5,6,5.1,63.5,64.4,8.0,0,BrowAJ00
Kyle Pitts,ATL,TE,75,56,541,9.7,1,4.7,45.1,74.7,7.2,0,PittKy00
Khalil Shakir,BUF,WR,75,55,569,10.3,3,4.6,47.4,73.3,7.6,1,ShakKh00
De'Von Achane,MIA,RB,72,54,370,6.9,4,4.5,30.8,75.0,5.1,1,AchaDe00
Juwan Johnson,NOR,TE,76,54,576,10.7,3,4.5,48.0,71.1,7.6,1,JohnJu02
Bijan Robinson,ATL,RB,68,54,594,11.0,2,4.5,49.5,79.4,8.7,2,RobiBi01
Davante Adams,LAR,WR,99,52,689,13.3,14,4.3,57.4,52.5,7.0,0,AdamDa01
Emeka Egbuka,TAM,WR,101,52,791,15.2,6,4.3,65.9,51.5,7.8,0,EgbuEm01
Jaylen Waddle,MIA,WR,79,52,762,14.7,5,4.3,63.5,65.8,9.6,0,WaddJa00
Harold Fannin,CLE,TE,74,51,505,9.9,3,4.3,42.1,68.9,6.8,1,FannHa00
Jahmyr Gibbs,DET,RB,59,51,397,7.8,3,4.3,33.1,86.4,6.7,0,GibbJa01
CeeDee Lamb,DAL,WR,81,51,744,14.6,3,5.7,82.7,63.0,9.2,0,LambCe00
Jakobi Meyers,2TM,WR,70,51,597,11.7,2,4.6,54.3,72.9,8.5,0,MeyeJa01
Jakobi Meyers,LVR,WR,49,33,352,10.7,0,4.7,50.3,67.3,7.2,0,MeyeJa01
Jakobi Meyers,JAX,WR,21,18,245,13.6,2,4.5,61.3,85.7,11.7,0,MeyeJa01
Courtland Sutton,DEN,WR,80,50,711,14.2,5,4.2,59.3,62.5,8.9,0,SuttCo00
Michael Wilson,ARI,WR,78,50,570,11.4,1,4.2,47.5,64.1,7.3,0,WilsMi02
Brock Bowers,LVR,TE,68,49,573,11.7,5,5.4,63.7,72.1,8.4,0,BoweBr01
Zach Ertz,WAS,TE,70,49,493,10.1,4,4.1,41.1,70.0,7.0,1,ErtzZa00
Chase Brown,CIN,RB,64,48,287,6.0,1,4.0,23.9,75.0,4.5,2,BrowCh10
Troy Franklin,DEN,WR,84,48,530,11.0,5,4.0,44.2,57.1,6.3,1,FranTr00
Rashid Shaheed,2TM,WR,77,48,536,11.2,2,3.7,41.2,62.3,7.0,2,ShahRa00
Rashid Shaheed,NOR,WR,66,44,499,11.3,2,4.9,55.4,66.7,7.6,1,ShahRa00
Rashid Shaheed,SEA,WR,11,4,37,9.3,0,1.0,9.3,36.4,3.4,1,ShahRa00
Romeo Doubs,GNB,WR,71,45,542,12.0,5,3.8,45.2,63.4,7.6,1,DoubRo00
Hunter Henry,NWE,TE,69,45,610,13.6,5,3.5,46.9,65.2,8.8,0,HenrHu00
D.K. Metcalf,PIT,WR,75,45,605,13.4,5,3.8,50.4,60.0,8.1,0,MetcDK00
Kenneth Gainwell,PIT,RB,51,44,259,5.9,2,3.7,21.6,86.3,5.1,2,GainKe00
T.J. Hockenson,MIN,TE,57,44,358,8.1,2,3.7,29.8,77.2,6.3,0,HockTJ00
Rome Odunze,CHI,WR,90,44,661,15.0,6,3.7,55.1,48.9,7.3,0,OdunRo00
Tre Tucker,LVR,WR,67,44,550,12.5,5,3.7,45.8,65.7,8.2,0,TuckTr00
Ashton Jeanty,LVR,RB,54,43,251,5.8,4,3.6,20.9,79.6,4.6,2,JeanAs00
Cade Otton,TAM,TE,62,43,411,9.6,0,3.6,34.3,69.4,6.6,0,OttoCa00
Theo Johnson,NYG,TE,68,42,456,10.9,5,3.2,35.1,61.8,6.7,0,JohnTh00
Rashee Rice,KAN,WR,59,42,486,11.6,5,7.0,81.0,71.2,8.2,2,RiceRa01
Marquise Brown,KAN,WR,60,41,459,11.2,5,3.4,38.3,68.3,7.7,1,BrowMa04
Jauan Jennings,SFO,WR,69,41,458,11.2,5,3.7,41.6,59.4,6.6,1,JennJa00
Josh Downs,IND,WR,59,40,370,9.3,3,3.6,33.6,67.8,6.3,1,DownJo00
Dallas Goedert,PHI,TE,56,40,403,10.1,7,3.6,36.6,71.4,7.2,0,GoedDa00
Marvin Harrison Jr.,ARI,WR,69,40,594,14.9,4,4.0,59.4,58.0,8.6,0,HarrMa09
Tee Higgins,CIN,WR,70,40,575,14.4,7,3.6,52.3,57.1,8.2,0,HiggTe00
Quentin Johnston,LAC,WR,68,40,525,13.1,7,3.6,47.7,58.8,7.7,1,JohnQu02
Sam LaPorta,DET,TE,49,40,489,12.2,3,4.4,54.3,81.6,10.0,0,LaPoSa01
Chigoziem Okonkwo,TEN,TE,51,39,406,10.4,0,3.3,33.8,76.5,8.0,0,OkonCh00
Mason Taylor,NYJ,TE,57,39,318,8.2,1,3.3,26.5,68.4,5.6,0,TaylMa02
Evan Engram,DEN,TE,59,38,339,8.9,1,3.5,30.8,64.4,5.7,0,EngrEv00
Oronde Gadsden II,LAC,TE,51,38,534,14.1,2,3.8,53.4,74.5,10.5,1,GadsOr01
D.J. Moore,CHI,WR,63,38,502,13.2,3,3.2,41.8,60.3,8.0,1,MoorD.00
Sterling Shepard,TAM,WR,52,38,366,9.6,1,3.2,30.5,73.1,7.0,1,ShepSt00
Jameson Williams,DET,WR,63,38,706,18.6,6,3.2,58.8,60.3,11.2,0,WillJa11
Mark Andrews,BAL,TE,52,37,332,9.0,5,3.1,27.7,71.2,6.4,1,AndrMa00
AJ Barner,SEA,TE,46,37,359,9.7,4,3.1,29.9,80.4,7.8,2,BarnAJ00
George Kittle,SFO,TE,45,37,396,10.7,5,4.6,49.5,82.2,8.8,0,KittGe00
Malik Washington,MIA,WR,52,37,264,7.1,2,3.1,22.0,71.2,5.1,1,WashMa00
Gunnar Helm,TEN,TE,44,36,290,8.1,1,3.0,24.2,81.8,6.6,0,HelmGu00
Parker Washington,JAX,WR,63,36,447,12.4,3,3.0,37.3,57.1,7.1,1,WashPa01
Garrett Wilson,NYJ,WR,59,36,395,11.0,4,5.1,56.4,61.0,6.7,1,WilsGa00
Saquon Barkley,PHI,RB,43,35,259,7.4,2,2.9,21.6,81.4,6.0,1,BarkSa00
Mack Hollins,NWE,WR,48,35,440,12.6,2,2.7,33.8,72.9,9.2,0,HollMa00
Jerry Jeudy,CLE,WR,80,35,421,12.0,1,2.9,35.1,43.8,5.3,1,JeudJe00
Jonathan Taylor,IND,RB,40,35,304,8.7,2,2.9,25.3,87.5,7.6,1,TaylJo02
Xavier Worthy,KAN,WR,59,35,401,11.5,1,3.5,40.1,59.3,6.8,0,WortXa00
Olamide Zaccheaus,CHI,WR,54,35,273,7.8,1,2.9,22.8,64.8,5.1,0,ZaccOl01
Keon Coleman,BUF,WR,52,34,339,10.0,4,3.4,33.9,65.4,6.5,1,ColeKe02
Cooper Kupp,SEA,WR,50,34,438,12.9,1,3.1,39.8,68.0,8.8,0,KuppCo00
Jordan Addison,MIN,WR,63,33,448,13.6,3,3.7,49.8,52.4,7.1,0,AddiJo00
Alvin Kamara,NOR,RB,39,33,186,5.6,0,3.0,16.9,84.6,4.8,2,KamaAl00
Alec Pierce,IND,WR,59,33,689,20.9,2,3.3,68.9,55.9,11.7,0,PierAl00
Noah Fant,CIN,TE,37,32,268,8.4,3,2.9,24.4,86.5,7.2,2,FantNo00
TreVeyon Henderson,NWE,RB,38,32,199,6.2,1,2.5,15.3,84.2,5.2,1,HendTr02
Jayden Higgins,HOU,WR,50,32,359,11.2,4,2.7,29.9,64.0,7.2,0,HiggJa00
Tucker Kraft,GNB,TE,44,32,489,15.3,6,4.0,61.1,72.7,11.1,0,KrafTu00
David Njoku,CLE,TE,47,32,292,9.1,3,2.9,26.5,68.1,6.2,0,NjokDa00
Brian Thomas,JAX,WR,63,32,448,14.0,1,3.6,49.8,50.8,7.1,0,ThomBr06
Rachaad White,TAM,RB,36,32,170,5.3,0,2.7,14.2,88.9,4.7,0,WhitRa01
Kendrick Bourne,SFO,WR,43,31,482,15.5,0,2.6,40.2,72.1,11.2,0,BourKe00
RJ Harvey,DEN,RB,36,31,222,7.2,4,2.6,18.5,86.1,6.2,0,HarvRJ00
Colston Loveland,CHI,TE,44,31,406,13.1,3,2.8,36.9,70.5,9.2,0,LoveCo00
Javonte Williams,DAL,RB,42,31,128,4.1,2,2.6,10.7,73.8,3.0,2,WillJa10
Breece Hall,NYJ,RB,39,30,309,10.3,1,2.5,25.8,76.9,7.9,2,HallBr03
Jonnu Smith,PIT,TE,43,30,190,6.3,2,2.5,15.8,69.8,4.4,1,SmitJo01
Elic Ayomanor,TEN,WR,64,29,339,11.7,2,2.6,30.8,45.3,5.3,0,AyomEl00
Kayshon Boutte,NWE,WR,38,29,481,16.6,6,2.6,43.7,76.3,12.7,0,BoutKa00
Chimere Dike,TEN,WR,47,29,260,9.0,2,2.4,21.7,61.7,5.5,2,DikeCh00
Greg Dortch,ARI,WR,33,29,206,7.1,3,2.4,17.2,87.9,6.2,1,DortGr01
Rico Dowdle,CAR,RB,36,29,254,8.8,1,2.2,19.5,80.6,7.1,1,DowdRi01
Josh Jacobs,GNB,RB,36,29,245,8.4,0,2.6,22.3,80.6,6.8,2,JacoJo01
Dalton Kincaid,BUF,TE,36,29,448,15.4,4,3.6,56.0,80.6,12.4,1,KincDa00
Travis Hunter,JAX,WR,45,28,298,10.6,1,4.0,42.6,62.2,6.6,1,HuntTr00
Xavier Legette,CAR,WR,53,28,287,10.3,3,2.5,26.1,52.8,5.4,1,LegeXa00
Tyjae Spears,TEN,RB,30,28,173,6.2,0,3.5,21.6,93.3,5.8,0,SpeaTy00
Brenton Strange,JAX,TE,33,28,342,12.2,1,4.0,48.9,84.8,10.4,0,StraBr00
James Cook,BUF,RB,29,27,236,8.7,1,2.3,19.7,93.1,8.1,4,CookJa01
Demario Douglas,NWE,WR,39,27,402,14.9,3,2.1,30.9,69.2,10.3,0,DougDe00
Tony Pollard,TEN,RB,34,27,171,6.3,0,2.3,14.3,79.4,5.0,3,PollTo00
Jaylen Warren,PIT,RB,32,27,228,8.4,1,2.5,20.7,84.4,7.1,0,WarrJa01
Calvin Austin III,PIT,WR,44,26,278,10.7,2,2.6,27.8,59.1,6.3,0,AustCa00
Luther Burden,CHI,WR,34,26,328,12.6,1,2.4,29.8,76.5,9.6,0,BurdLu00
Pat Freiermuth,PIT,TE,32,26,298,11.5,4,2.2,24.8,81.3,9.3,0,FreiPa00
Xavier Hutchinson,HOU,WR,39,26,303,11.7,3,2.2,25.3,66.7,7.8,0,HutcXa00
Darius Slayton,NYG,WR,39,26,407,15.7,1,2.6,40.7,66.7,10.4,1,SlayDa01
JuJu Smith-Schuster,KAN,WR,33,26,299,11.5,1,2.2,24.9,78.8,9.1,0,SmitJu00
Jake Tonges,SFO,TE,35,26,226,8.7,4,2.0,17.4,74.3,6.5,0,TongJa00
Dontayvion Wicks,GNB,WR,41,26,307,11.8,2,2.6,30.7,63.4,7.5,0,WickDo00
Travis Etienne,JAX,RB,38,25,173,6.9,2,2.1,14.4,65.8,4.6,1,EtieTr00
Ricky Pearsall,SFO,WR,38,25,347,13.9,0,3.6,49.6,65.8,9.1,0,PearRi00
Ja'Tavion Sanders,CAR,TE,30,25,176,7.0,0,2.5,17.6,83.3,5.9,0,SandJa01
D'Andre Swift,CHI,RB,36,25,237,9.5,1,2.3,21.5,69.4,6.6,2,SwifDA00
Jerome Ford,CLE,RB,29,24,93,3.9,0,2.0,7.8,82.8,3.2,0,FordJe00
Matthew Golden,GNB,WR,32,24,286,11.9,0,2.7,31.8,75.0,8.9,0,GoldMa02
Andrei Iosivas,CIN,WR,44,24,346,14.4,2,2.0,28.8,54.5,7.9,0,IosiAn00
Tez Johnson,TAM,WR,39,24,287,12.0,5,2.2,26.1,61.5,7.4,0,JohnTe03
Marvin Mims,DEN,WR,34,24,242,10.1,1,2.4,24.2,70.6,7.1,2,MimsMa00
Cam Skattebo,NYG,RB,32,24,207,8.6,2,3.0,25.9,75.0,6.5,1,SkatCa00
Kyren Williams,LAR,RB,33,24,184,7.7,3,2.0,15.3,72.7,5.6,2,WillKy02
Chuba Hubbard,CAR,RB,32,23,194,8.4,3,2.1,17.6,71.9,6.1,0,HubbCh01
Colby Parkinson,LAR,TE,26,23,191,8.3,3,2.3,19.1,88.5,7.3,1,ParkCo02
Dylan Sampson,CLE,RB,28,23,195,8.5,2,1.9,16.3,82.1,7.0,0,SampDy00
Tyler Lockett,2TM,WR,37,23,220,9.6,0,1.9,18.3,62.2,5.9,0,LockTy00
Tyler Lockett,TEN,WR,21,10,70,7.0,0,1.4,10.0,47.6,3.3,0,LockTy00
Tyler Lockett,LVR,WR,16,13,150,11.5,0,2.6,30.0,81.3,9.4,0,LockTy00
Michael Carter,ARI,RB,28,22,176,8.0,0,2.8,22.0,78.6,6.3,0,CartMi03
Michael Mayer,LVR,TE,32,22,182,8.3,1,2.4,20.2,68.8,5.7,0,MayeMi00
Tyrone Tracy Jr.,NYG,RB,31,22,203,9.2,0,2.0,18.5,71.0,6.5,0,TracTy00
Darnell Washington,PIT,TE,32,22,276,12.5,1,1.8,23.0,68.8,8.6,1,WashDa03
Justice Hill,BAL,RB,27,21,169,8.0,1,2.1,16.9,77.8,6.3,1,HillJu00
Tyreek Hill,MIA,WR,29,21,265,12.6,1,5.3,66.3,72.4,9.1,0,HillTy00
Bucky Irving,TAM,RB,21,21,213,10.1,2,4.2,42.6,100.0,10.1,1,IrviBu00
Van Jefferson,TEN,WR,38,21,220,10.5,1,1.8,18.3,55.3,5.8,0,JeffVa00
Christian Kirk,HOU,WR,37,21,198,9.4,1,2.6,24.8,56.8,5.4,0,KirkCh01
Darnell Mooney,ATL,WR,50,21,323,15.4,1,2.1,32.3,42.0,6.5,1,MoonDa00
Christian Watson,GNB,WR,34,21,363,17.3,3,3.5,60.5,61.8,10.7,0,WatsCh00
Ryan Flournoy,DAL,WR,29,20,234,11.7,2,1.7,19.5,69.0,8.1,0,FlouRy00
Omarion Hampton,LAC,RB,22,20,136,6.8,0,4.0,27.2,90.9,6.2,1,HampOm00
Tyler Higbee,LAR,TE,30,20,190,9.5,2,2.2,21.1,66.7,6.3,0,HigbTy00
Aaron Jones,MIN,RB,30,20,150,7.5,1,2.5,18.8,66.7,5.0,2,JoneAa00
Kyle Juszczyk,SFO,FB,23,20,187,9.4,1,1.5,14.4,87.0,8.1,0,JuszKy00
Cole Kmet,CHI,TE,32,20,231,11.6,2,1.8,21.0,62.5,7.2,0,KmetCo00
Terry McLaurin,WAS,WR,35,20,299,15.0,2,4.0,59.8,57.1,8.5,0,McLaTe00
David Montgomery,DET,RB,24,20,151,7.6,0,1.7,12.6,83.3,6.3,2,MontDa01
Jalen Nailor,MIN,WR,39,20,318,15.9,2,1.7,26.5,51.3,8.2,0,NailJa00
Jaylin Noel,HOU,WR,28,20,213,10.7,1,1.7,17.8,71.4,7.6,0,NoelJa00
Rhamondre Stevenson,NWE,RB,24,20,214,10.7,0,2.0,21.4,83.3,8.9,3,StevRh00
Tommy Tremble,CAR,TE,27,20,186,9.3,1,1.5,14.3,74.1,6.9,0,TremTo00
Kenneth Walker III,SEA,RB,23,20,175,8.8,0,1.7,14.6,87.0,7.6,0,WalkKe00
Brandin Cooks,2TM,WR,26,20,178,8.9,0,1.8,16.2,76.9,6.8,0,CookBr00
Brandin Cooks,NOR,WR,25,19,165,8.7,0,1.9,16.5,76.0,6.6,0,CookBr00
Brandin Cooks,BUF,WR,1,1,13,13.0,0,1.0,13.0,100.0,13.0,0,CookBr00
Adonai Mitchell,2TM,WR,41,20,306,15.3,1,1.8,27.8,48.8,7.5,1,MitcAd00
Adonai Mitchell,IND,WR,16,9,152,16.9,0,1.1,19.0,56.3,9.5,1,MitcAd00
Adonai Mitchell,NYJ,WR,25,11,154,14.0,1,3.7,51.3,44.0,6.2,0,MitcAd00
