Player,Team,Pos,Tgt,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Y/Tgt,Fmb,-9999
Tip Reiman,ARI,TE,5,3,18,6.0,0,0.8,4.5,60.0,3.6,0,ReimTi00
Xavier Restrepo,TEN,WR,7,3,41,13.7,0,1.5,20.5,42.9,5.9,0,RestXa00
Trent Sherfield,DEN,WR,4,3,21,7.0,0,0.3,2.1,75.0,5.3,0,SherTr00
Ben Sinnott,WAS,TE,3,3,33,11.0,1,0.3,3.0,100.0,11.0,0,SinnBe00
Ben Skowronek,PIT,WR,5,3,56,18.7,1,0.3,4.7,60.0,11.2,0,SkowBe00
Austin Trammell,JAX,WR,10,3,46,15.3,0,0.6,9.2,30.0,4.6,0,TramAu00
Justin Watson,HOU,WR,4,3,30,10.0,0,1.5,15.0,75.0,7.5,0,WatsJu01
Xavier Weaver,ARI,WR,8,3,24,8.0,0,0.4,3.4,37.5,3.0,0,WeavXa00
Zamir White,LVR,RB,5,3,19,6.3,0,0.8,4.8,60.0,3.8,0,WhitZa01
Cedrick Wilson Jr.,MIA,WR,4,3,25,8.3,0,0.6,5.0,75.0,6.3,0,WilsCe01
Braelon Allen,NYJ,RB,3,2,17,8.5,0,0.5,4.3,66.7,5.7,1,AlleBr05
Brenden Bates,HOU,TE,2,2,23,11.5,0,0.7,7.7,100.0,11.5,0,BateBr00
Jake Bobo,SEA,WR,2,2,20,10.0,0,0.3,2.9,100.0,10.0,0,BoboJa00
Harrison Bryant,HOU,TE,6,2,7,3.5,0,0.3,0.9,33.3,1.2,0,BryaHa00
Beaux Collins,NYG,WR,6,2,25,12.5,0,0.2,2.8,33.3,4.2,0,CollBe00
Darius Cooper,PHI,WR,2,2,7,3.5,0,0.3,0.9,100.0,3.5,0,CoopDa01
AJ Dillon,PHI,RB,2,2,18,9.0,0,0.3,3.0,100.0,9.0,1,DillAJ00
Clyde Edwards-Helaire,KAN,RB,2,2,9,4.5,0,1.0,4.5,100.0,4.5,0,EdwaCl00
Tucker Fisk,LAC,TE,4,2,19,9.5,0,0.2,1.9,50.0,4.8,0,FiskTu00
Antonio Gibson,NWE,RB,3,2,6,3.0,0,0.4,1.2,66.7,2.0,2,GibsAn00
Xavier Gipson,PHI,WR,2,2,6,3.0,0,0.4,1.2,100.0,3.0,2,GipsXa00
Tyler Goodson,IND,RB,3,2,8,4.0,0,0.3,1.1,66.7,2.7,0,GoodTy00
Connor Heyward,PIT,TE,3,2,18,9.0,1,0.2,1.5,66.7,6.0,0,HeywCo00
George Holani,SEA,RB,2,2,15,7.5,0,0.2,1.4,100.0,7.5,1,HolaGe00
Lucas Krull,DEN,TE,4,2,15,7.5,0,0.7,5.0,50.0,3.8,0,KrulLu00
Tay Martin,WAS,WR,2,2,23,11.5,0,0.7,7.7,100.0,11.5,0,MartTa00
Scott Matlock,LAC,FB,2,2,3,1.5,1,0.2,0.3,100.0,1.5,0,MatlSc00
Jaleel McLaughlin,DEN,RB,3,2,1,0.5,0,0.7,0.3,66.7,0.3,0,McLaJa00
Bo Melton,GNB,CB,6,2,28,14.0,0,0.2,2.5,33.3,4.7,0,MeltBo00
Ryan Miller,TAM,WR,4,2,34,17.0,1,0.2,2.8,50.0,8.5,0,MillRy01
Quintin Morris,JAX,TE,5,2,25,12.5,0,0.2,2.8,40.0,5.0,0,MorrQu00
Durham Smythe,CHI,TE,4,2,12,6.0,0,0.2,1.0,50.0,3.0,0,SmytDu00
Deven Thompkins,ATL,WR,2,2,23,11.5,0,1.0,11.5,100.0,11.5,0,ThomDe07
Jordan Watkins,SFO,WR,3,2,26,13.0,0,0.7,8.7,66.7,8.7,0,WatkJo00
Jared Wayne,HOU,WR,2,2,20,10.0,0,2.0,20.0,100.0,10.0,0,WaynJa01
Cody White,SEA,WR,3,2,81,40.5,1,0.3,13.5,66.7,27.0,0,WhitCo05
Blake Whiteheart,CLE,TE,3,2,4,2.0,0,0.2,0.3,66.7,1.3,1,WhitBl01
Josh Whyle,GNB,TE,3,2,3,1.5,1,0.5,0.8,66.7,1.0,0,WhylJo01
Caleb Williams,CHI,QB,2,2,22,11.0,1,0.2,1.8,100.0,11.0,6,WillCa03
Colson Yankoff,WAS,TE,2,2,18,9.0,0,0.2,1.8,100.0,9.0,0,YankCo00
Dareke Young,SEA,WR,2,2,48,24.0,0,0.3,8.0,100.0,24.0,0,YounDa02
Zaire Mitchell-Paden,2TM,TE,3,2,17,8.5,0,0.3,2.1,66.7,5.7,0,MitcZa00
Zaire Mitchell-Paden,BAL,TE,2,1,3,3.0,0,0.2,0.5,50.0,1.5,0,MitcZa00
Zaire Mitchell-Paden,NOR,TE,1,1,14,14.0,0,0.5,7.0,100.0,14.0,0,MitcZa00
Rasheen Ali,BAL,RB,1,1,15,15.0,0,0.1,1.5,100.0,15.0,0,AlixRa00
Spencer Anderson,PIT,OL,1,1,4,4.0,0,0.1,0.3,100.0,4.0,0,AndeSp00
Andre Baccellia,ARI,WR,1,1,5,5.0,0,0.3,1.7,100.0,5.0,0,BaccAn00
Alex Bachman,LVR,WR,2,1,9,9.0,0,0.1,1.0,50.0,4.5,0,BachAl00
Michael Bandy,DEN,WR,1,1,16,16.0,0,0.5,8.0,100.0,16.0,1,BandMi00
Tank Bigsby,2TM,RB,1,1,-1,-1.0,0,0.1,-0.1,100.0,-1.0,0,BigsTa00
Tank Bigsby,JAX,RB,0,0,0,,0,0.0,0.0,,,0,BigsTa00
Tank Bigsby,PHI,RB,1,1,-1,-1.0,0,0.1,-0.1,100.0,-1.0,0,BigsTa00
Jaydon Blue,DAL,RB,1,1,5,5.0,0,0.3,1.3,100.0,5.0,1,BlueJa01
Connor Colby,SFO,OL,1,1,-1,-1.0,0,0.1,-0.1,100.0,-1.0,0,ColbCo00
Derius Davis,LAC,WR,2,1,3,3.0,0,0.1,0.3,50.0,1.5,1,DaviDe02
Josiah Deguara,ARI,TE,1,1,6,6.0,0,0.1,0.9,100.0,6.0,0,DeguJo00
Payne Durham,TAM,TE,3,1,11,11.0,0,0.1,0.9,33.3,3.7,0,DurhPa00
Devin Duvernay,CHI,WR,3,1,2,2.0,0,0.1,0.2,33.3,0.7,0,DuveDe00
Ross Dwelley,DET,TE,4,1,3,3.0,0,0.1,0.3,25.0,0.8,0,DwelRo00
Tai Felton,MIN,WR,1,1,9,9.0,0,0.1,0.8,100.0,9.0,0,FeltTa00
Anthony Firkser,DET,TE,1,1,4,4.0,0,0.5,2.0,100.0,4.0,0,FirkAn00
Reggie Gilliam,BUF,FB,1,1,2,2.0,0,0.1,0.2,100.0,2.0,0,GillRe00
Anthony Gould,IND,WR,1,1,3,3.0,0,0.1,0.3,100.0,3.0,0,GoulAn00
Cam Grandy,CIN,TE,1,1,6,6.0,0,0.3,2.0,100.0,6.0,1,GranCa00
C.J. Ham,MIN,FB,1,1,5,5.0,0,0.2,0.8,100.0,5.0,0,HamxC.00
Terrell Jennings,NWE,RB,1,1,9,9.0,0,0.1,1.3,100.0,9.0,0,JennTe00
Kaleb Johnson,PIT,RB,2,1,9,9.0,0,0.1,1.1,50.0,4.5,1,JohnKa03
Jacoby Jones,WAS,WR,1,1,25,25.0,0,1.0,25.0,100.0,25.0,0,JoneJa16
Tim Jones,JAX,WR,1,1,15,15.0,0,0.5,7.5,100.0,15.0,0,JoneTi00
Mason Kinsey,TEN,WR,3,1,14,14.0,0,0.2,2.8,33.3,4.7,0,KinsMa00
KeAndre Lambert-Smith,LAC,WR,4,1,1,1.0,0,0.2,0.2,25.0,0.3,0,LambKe01
Keleki Latu,BUF,TE,1,1,4,4.0,0,0.3,1.3,100.0,4.0,0,LatuKe00
Chris Manhertz,NYG,TE,1,1,7,7.0,0,0.1,0.5,100.0,7.0,0,ManhCh00
David Martin-Robinson,TEN,TE,1,1,1,1.0,1,0.1,0.1,100.0,1.0,0,MartDa01
Drake Maye,NWE,QB,1,1,2,2.0,0,0.1,0.2,100.0,2.0,6,MayeDr00
Scott Miller,PIT,WR,2,1,9,9.0,0,0.1,1.1,50.0,4.5,0,MillSc01
David Moore,CAR,WR,1,1,5,5.0,0,0.3,1.3,100.0,5.0,0,MoorDa03
Bryce Oliver,TEN,WR,1,1,8,8.0,0,0.5,4.0,100.0,8.0,0,OlivBr02
Gunner Olszewski,NYG,WR,3,1,24,24.0,1,0.1,1.8,33.3,8.0,1,OlszGu00
Dante Pettis,NOR,WR,1,1,14,14.0,0,0.3,4.7,100.0,14.0,0,PettDa00
Spencer Rattler,NOR,QB,2,1,0,0.0,0,0.1,0.0,50.0,0.0,4,RattSp00
Nikko Remigio,KAN,WR,1,1,21,21.0,0,0.1,1.8,100.0,21.0,1,RemiNi00
Anthony Richardson,IND,QB,1,1,9,9.0,0,0.5,4.5,100.0,9.0,0,RichAn03
Chris Rodriguez,WAS,RB,2,1,6,6.0,0,0.1,0.6,50.0,3.0,0,RodrCh00
Carter Runyon,LVR,TE,1,1,3,3.0,0,0.1,0.4,100.0,3.0,0,RunyCa00
Eric Saubert,SEA,TE,1,1,12,12.0,0,0.1,1.7,100.0,12.0,0,SaubEr00
Robert Tonyan,KAN,TE,1,1,1,1.0,0,0.1,0.1,100.0,1.0,0,TonyRo00
Tahj Washington,MIA,WR,2,1,11,11.0,0,0.3,2.8,50.0,5.5,1,WashTa00
Jared Wiley,KAN,TE,1,1,4,4.0,0,1.0,4.0,100.0,4.0,0,WileJa00
Trayveon Williams,LAC,RB,1,1,0,0.0,0,0.3,0.0,100.0,0.0,0,WillTr06
Jameis Winston,NYG,QB,1,1,33,33.0,1,0.5,16.5,100.0,33.0,1,WinsJa00
Tristan Wirfs,TAM,T,1,1,2,2.0,1,0.1,0.2,100.0,2.0,0,WirfTr00
Jaylen Wright,MIA,RB,1,1,0,0.0,0,0.2,0.0,100.0,0.0,0,WrigJa04
Ben Yurosek,MIN,TE,2,1,5,5.0,0,0.1,0.6,50.0,2.5,0,YuroBe00
Cam Akers,MIN,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,AkerCa00
Josh Allen,BUF,QB,0,0,0,,0,0.0,0.0,,,5,AlleJo02
Kyle Allen,DET,QB,0,0,0,,0,0.0,0.0,,,0,AlleKy00
Kevin Austin,NOR,WR,1,0,0,,0,0.0,0.0,0.0,0.0,0,AustKe00
Tyson Bagent,CHI,QB,0,0,0,,0,0.0,0.0,,,1,BageTy00
Ulysses Bentley,IND,RB,0,0,0,,0,0.0,0.0,,,0,BentUl00
Garett Bolles,DEN,T,1,0,0,,0,0.0,0.0,0.0,0.0,0,BollGa00
Teddy Bridgewater,TAM,QB,0,0,0,,0,0.0,0.0,,,0,BridTe00
Jacoby Brissett,ARI,QB,0,0,0,,0,0.0,0.0,,,4,BrisJa00
British Brooks,HOU,RB,0,0,0,,0,0.0,0.0,,,0,BrooBr01
Tahj Brooks,CIN,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,BrooTa00
Max Brosmer,MIN,QB,0,0,0,,0,0.0,0.0,,,0,BrosMa00
Brittain Brown,CHI,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,BrowBr06
Jake Browning,CIN,QB,0,0,0,,0,0.0,0.0,,,1,BrowJa08
Jason Brownlee,KAN,WR,1,0,0,,0,0.0,0.0,0.0,0.0,0,BrowJa07
Joe Burrow,CIN,QB,0,0,0,,0,0.0,0.0,,,0,BurrJo01
Alex Cappa,LVR,G,1,0,0,,0,0.0,0.0,0.0,0.0,0,CappAl00
Nathan Carter,ATL,RB,0,0,0,,0,0.0,0.0,,,1,CartNa00
Julius Chestnut,TEN,RB,2,0,0,,0,0.0,0.0,0.0,0.0,0,ChesJu00
Kirk Cousins,ATL,QB,0,0,0,,0,0.0,0.0,,,1,CousKi00
DeeJay Dallas,CAR,RB,0,0,0,,0,0.0,0.0,,,0,DallDe00
Andy Dalton,CAR,QB,0,0,0,,0,0.0,0.0,,,2,DaltAn00
Jayden Daniels,WAS,QB,0,0,0,,0,0.0,0.0,,,3,DaniJa02
Sam Darnold,SEA,QB,0,0,0,,0,0.0,0.0,,,7,DarnSa00
Jaxson Dart,NYG,QB,0,0,0,,0,0.0,0.0,,,3,DartJa00
Malik Davis,DAL,RB,0,0,0,,0,0.0,0.0,,,0,DaviMa02
Joshua Dobbs,NWE,QB,0,0,0,,0,0.0,0.0,,,0,DobbJo00
Quinn Ewers,MIA,QB,0,0,0,,0,0.0,0.0,,,2,EwerQu00
Justin Fields,NYJ,QB,1,0,0,,0,0.0,0.0,0.0,0.0,4,FielJu00
Joe Flacco,2TM,QB,0,0,0,,0,0.0,0.0,,,3,FlacJo00
Joe Flacco,CLE,QB,0,0,0,,0,0.0,0.0,,,2,FlacJo00
Joe Flacco,CIN,QB,0,0,0,,0,0.0,0.0,,,1,FlacJo00
Feleipe Franks,ATL,TE,0,0,0,,0,0.0,0.0,,,0,FranFe00
Dillon Gabriel,CLE,QB,0,0,0,,0,0.0,0.0,,,0,GabrDi00
Jimmy Garoppolo,LAR,QB,0,0,0,,0,0.0,0.0,,,0,GaroJi00
Myles Gaskin,SEA,RB,0,0,0,,0,0.0,0.0,,,0,GaskMy00
DJ Giddens,IND,RB,2,0,0,,0,0.0,0.0,0.0,0.0,0,GiddDJ00
Jamie Gillan,NYG,P,0,0,0,,0,0.0,0.0,,,0,GillJa00
Jared Goff,DET,QB,0,0,0,,0,0.0,0.0,,,3,GoffJa00
Mecole Hardman,BUF,WR,1,0,0,,0,0.0,0.0,0.0,0.0,1,HardMe00
Justin Herbert,LAC,QB,0,0,0,,0,0.0,0.0,,,2,HerbJu00
Nyheim Hines,LAC,RB,0,0,0,,0,0.0,0.0,,,0,HineNy00
Travis Homer,CHI,RB,0,0,0,,0,0.0,0.0,,,0,HomeTr00
Evan Hull,NOR,RB,0,0,0,,0,0.0,0.0,,,0,HullEv00
Tyler Huntley,BAL,QB,0,0,0,,0,0.0,0.0,,,0,HuntTy01
Jalen Hurts,PHI,QB,0,0,0,,0,0.0,0.0,,,6,HurtJa00
Lamar Jackson,BAL,QB,0,0,0,,0,0.0,0.0,,,6,JackLa00
Amar Johnson,LAC,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,JohnAm00
D'Ernest Johnson,2TM,RB,0,0,0,,0,0.0,0.0,,,0,JohnDE04
D'Ernest Johnson,ARI,RB,0,0,0,,0,0.0,0.0,,,0,JohnDE04
D'Ernest Johnson,NWE,RB,0,0,0,,0,0.0,0.0,,,0,JohnDE04
Roschon Johnson,CHI,RB,0,0,0,,0,0.0,0.0,,,0,JohnRo07
Charlie Jones,CIN,WR,1,0,0,,0,0.0,0.0,0.0,0.0,0,JoneCh11
Daniel Jones,IND,QB,0,0,0,,0,0.0,0.0,,,9,JoneDa05
Mac Jones,SFO,QB,0,0,0,,0,0.0,0.0,,,4,JoneMa05
Nick Kallerup,SEA,TE,1,0,0,,0,0.0,0.0,0.0,0.0,0,KallNi00
Trey Lance,LAC,QB,0,0,0,,0,0.0,0.0,,,0,LancTr00
Trevor Lawrence,JAX,QB,0,0,0,,0,0.0,0.0,,,5,LawrTr00
Riley Leonard,IND,QB,0,0,0,,0,0.0,0.0,,,0,LeonRi02
Drew Lock,SEA,QB,0,0,0,,0,0.0,0.0,,,1,LockDr00
Jordan Love,GNB,QB,0,0,0,,0,0.0,0.0,,,6,LoveJo03
Patrick Mahomes,KAN,QB,0,0,0,,0,0.0,0.0,,,3,MahoPa00
Braden Mann,PHI,P,0,0,0,,0,0.0,0.0,,,0,MannBr01
Marcus Mariota,WAS,QB,0,0,0,,0,0.0,0.0,,,3,MariMa01
Adrian Martinez,SFO,QB,0,0,0,,0,0.0,0.0,,,0,MartAd00
Baker Mayfield,TAM,QB,0,0,0,,0,0.0,0.0,,,8,MayfBa00
J.J. McCarthy,MIN,QB,0,0,0,,0,0.0,0.0,,,5,McCaJJ00
Tanner McKee,PHI,QB,0,0,0,,0,0.0,0.0,,,0,McKeTa01
Davis Mills,HOU,QB,0,0,0,,0,0.0,0.0,,,1,MillDa02
Jalen Milroe,SEA,QB,0,0,0,,0,0.0,0.0,,,1,MilrJa00
Kendall Milton,CIN,RB,0,0,0,,0,0.0,0.0,,,0,MiltKe01
Gardner Minshew II,KAN,QB,0,0,0,,0,0.0,0.0,,,0,MinsGa00
Elijah Mitchell,KAN,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,MitcEl00
Nick Mullens,JAX,QB,0,0,0,,0,0.0,0.0,,,0,MullNi00
Kyler Murray,ARI,QB,0,0,0,,0,0.0,0.0,,,1,MurrKy00
Bo Nix,DEN,QB,1,0,0,,0,0.0,0.0,0.0,0.0,3,NixxBo00
Jaret Patterson,LAC,RB,0,0,0,,0,0.0,0.0,,,0,PattJa01
Michael Penix,ATL,QB,0,0,0,,0,0.0,0.0,,,4,PeniMi00
Kenny Pickett,LVR,QB,0,0,0,,0,0.0,0.0,,,1,PickKe00
Dameon Pierce,HOU,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,PierDa01
Dak Prescott,DAL,QB,0,0,0,,0,0.0,0.0,,,4,PresDa01
Brock Purdy,SFO,QB,0,0,0,,0,0.0,0.0,,,1,PurdBr00
Bernhard Raimann,IND,T,1,0,0,,0,0.0,0.0,0.0,0.0,0,RaimBe00
Craig Reynolds,DET,RB,0,0,0,,0,0.0,0.0,,,0,ReynCr00
Patrick Ricard,BAL,FB,0,0,0,,0,0.0,0.0,,,0,RicaPa00
Aaron Rodgers,PIT,QB,0,0,0,,0,0.0,0.0,,,3,RodgAa00
Mason Rudolph,PIT,QB,0,0,0,,0,0.0,0.0,,,1,RudoMa00
Cooper Rush,BAL,QB,0,0,0,,0,0.0,0.0,,,1,RushCo00
Raheim Sanders,CLE,RB,0,0,0,,0,0.0,0.0,,,0,SandRa00
Shedeur Sanders,CLE,QB,0,0,0,,0,0.0,0.0,,,1,SandSh00
Jacob Saylors,DET,RB,0,0,0,,0,0.0,0.0,,,0,SaylJa00
Tyler Shough,NOR,QB,0,0,0,,0,0.0,0.0,,,2,ShouTy00
Geno Smith,LVR,QB,0,0,0,,0,0.0,0.0,,,4,SmitGe00
Matthew Stafford,LAR,QB,0,0,0,,0,0.0,0.0,,,6,StafMa00
Jarrett Stidham,DEN,QB,0,0,0,,0,0.0,0.0,,,0,StidJa00
C.J. Stroud,HOU,QB,0,0,0,,0,0.0,0.0,,,0,StroCJ00
Grant Stuard,DET,LB,0,0,0,,0,0.0,0.0,,,0,StuaGr00
Tua Tagovailoa,MIA,QB,0,0,0,,0,0.0,0.0,,,7,TagoTu00
Tyrod Taylor,NYJ,QB,0,0,0,,0,0.0,0.0,,,1,TaylTy00
Rodney Thomas II,IND,S,0,0,0,,0,0.0,0.0,,,0,ThomRo07
Mitchell Trubisky,BUF,QB,0,0,0,,0,0.0,0.0,,,0,TrubMi00
Malik Turner,SFO,WR,1,0,0,,0,0.0,0.0,0.0,0.0,0,TurnMa00
Sione Vaki,DET,RB,0,0,0,,0,0.0,0.0,,,0,VakiSi00
Cam Ward,TEN,QB,0,0,0,,0,0.0,0.0,,,9,WardCa00
Carson Wentz,MIN,QB,0,0,0,,0,0.0,0.0,,,3,WentCa00
Jack Westover,NWE,FB,1,0,0,,0,0.0,0.0,0.0,0.0,0,WestJa01
Josh Williams,TAM,RB,0,0,0,,0,0.0,0.0,,,0,WillJo011
Brayden Willis,SFO,TE,1,0,0,,0,0.0,0.0,0.0,0.0,0,WillBr06
Malik Willis,GNB,QB,0,0,0,,0,0.0,0.0,,,0,WillMa12
Russell Wilson,NYG,QB,0,0,0,,0,0.0,0.0,,,3,WilsRu00
Zach Wilson,MIA,QB,0,0,0,,0,0.0,0.0,,,0,WilsZa00
Jacardia Wright,SEA,RB,0,0,0,,0,0.0,0.0,,,0,WrigJa05
Owen Wright,TAM,RB,0,0,0,,0,0.0,0.0,,,0,WrigOw00
Luke Wypler,CLE,C,1,0,0,,0,0.0,0.0,0.0,0.0,0,WyplLu00
Bryce Young,CAR,QB,0,0,0,,0,0.0,0.0,,,6,YounBr01